                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.252,                0.97799,                 1.0769,                0.68636,                0.50887,                0.58297,                0.33472,                  1.178,                0.80437,                 1.0668,             0.00047601,             0.00047601,             0.00047601
                      2,                 1.2088,                0.83385,                 1.0624,                0.67782,                0.56128,                0.61433,                0.36268,                 1.1106,                0.75596,                 1.0368,             0.00088949,             0.00088949,             0.00088949
                      3,                 1.1762,                0.80592,                 1.0484,                0.73929,                0.58141,                0.65837,                0.39721,                 1.0937,                0.72184,                 1.0297,              0.0012401,              0.0012401,              0.0012401
                      4,                 1.1362,                0.76652,                 1.0315,                0.72817,                0.57403,                0.64651,                0.37946,                 1.0714,                0.71461,                 1.0255,              0.0011461,              0.0011461,              0.0011461
                      5,                 1.1094,                0.73846,                  1.018,                0.76501,                 0.5991,                0.68576,                0.41691,                 1.0431,                0.68792,                 1.0091,              0.0011461,              0.0011461,              0.0011461
                      6,                 1.1021,                0.71849,                 1.0078,                0.78619,                0.58831,                 0.6762,                 0.4094,                 1.0325,                0.67278,                 1.0051,              0.0010517,              0.0010517,              0.0010517
                      7,                 1.0817,                0.70008,                0.99841,                0.77889,                0.59676,                0.68897,                0.42104,                 1.0489,                0.67421,                 1.0139,             0.00095743,             0.00095743,             0.00095743
                      8,                 1.0482,                0.67156,                0.98471,                0.76491,                0.64218,                0.70773,                0.44483,                 1.0173,                0.64575,                0.99419,             0.00086312,             0.00086312,             0.00086312
                      9,                   1.02,                0.64516,                0.97331,                0.80655,                0.63492,                0.72147,                0.45413,                0.98921,                0.62265,                0.98975,              0.0007688,              0.0007688,              0.0007688
                     10,                0.99582,                0.62282,                0.96479,                0.81905,                0.65154,                0.74073,                0.47308,                0.95525,                 0.5936,                0.97556,             0.00067449,             0.00067449,             0.00067449
                     11,                0.97066,                0.59926,                0.95697,                0.84442,                0.65929,                0.76131,                0.48266,                0.95065,                0.58037,                0.97272,             0.00058017,             0.00058017,             0.00058017
                     12,                0.94448,                0.57904,                0.94639,                0.84856,                0.67019,                0.76432,                0.48636,                0.94133,                 0.5654,                0.96614,             0.00048586,             0.00048586,             0.00048586
                     13,                0.92864,                 0.5625,                0.93931,                0.83555,                0.67705,                0.76879,                0.49871,                0.90882,                0.54932,                0.95637,             0.00039155,             0.00039155,             0.00039155
                     14,                0.89478,                0.54044,                0.92772,                0.85274,                0.69932,                0.79077,                 0.5227,                0.90204,                0.53331,                0.95428,             0.00029723,             0.00029723,             0.00029723
                     15,                0.87402,                0.51974,                0.92226,                0.86404,                0.70357,                0.79934,                 0.5283,                0.89734,                0.52424,                0.95366,             0.00020292,             0.00020292,             0.00020292
